,Month,Artist,Artist ID,Song ID,Song Name,Song Popularity,Album Name,Album Release Date,Genre 1,Genre 2,Genre 3,Genre 4,Followers,Artist Popularity,Acousticness,Danceability,Duration Ms,Energy,Instrumentalness,Liveness,Loudness,Mode,Speechiness,Tempo,Time Signature,Valence
0,1,Roddy Ricch,757aE44tKEUQEqRuT6GnEB,0nbXyq5TXYPCO7pr3N8S4I,The Box,88,Please Excuse Me For Being Antisocial,12/6/2019,melodic rap,rap,trap,N/A,5975338,88,0.104,0.896,196653,0.586,0,0.79,-6.687,0,0.0559,116.971,4,0.642
1,1,The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,0sf12qNH5qcw8qpgymFOqD,Blinding Lights,30,Blinding Lights,11/29/2019,canadian contemporary r&b,canadian pop,pop,N/A,31241181,96,0.00147,0.513,201573,0.796,0.000209,0.0938,-4.075,1,0.0629,171.017,4,0.345
2,1,Doja Cat,5cj0lLjcoR7YOSnhnX0Po5,3Dv1eDb0MEgF93GpLXlucZ,Say So,85,Hot Pink,11/7/2019,dance pop,pop,pop rap,N/A,6179218,91,0.256,0.787,237893,0.673,3.57E-06,0.0904,-4.577,0,0.158,110.962,4,0.786
3,1,Lil Mosey,5zctI4wO9XSKS8XwcnqEHk,22LAwLoDA5b4AaGSkg6bKW,Blueberry Faygo,82,Certified Hitmaker,2/6/2020,melodic rap,rap,rap conscient,trap,3538252,83,0.207,0.774,162547,0.554,0,0.132,-7.909,1,0.0383,99.034,4,0.349
4,1,Justin Bieber,1uNFoZAHBGtllmzznpCI3s,4umIPjkehX1r7uhmGvXiSV,Intentions (feat. Quavo),81,Changes,2/14/2020,canadian pop,pop,post-teen pop,N/A,44539130,100,0.3,0.806,212867,0.546,0,0.102,-6.637,1,0.0575,147.986,4,0.874
5,1,Quavo,0VRj0yCOv2FXJNP47XQnx5,4umIPjkehX1r7uhmGvXiSV,Intentions (feat. Quavo),81,Changes,2/14/2020,atl hip hop,hip hop,melodic rap,pop rap,4880540,85,0.3,0.806,212867,0.546,0,0.102,-6.637,1,0.0575,147.986,4,0.874
6,1,Future,1RyvyyTE3xzB2ZywiAwp0i,5yY9lUy8nbvjM1Uyo1Uqoc,Life Is Good (feat. Drake),85,Life Is Good (feat. Drake),1/10/2020,atl hip hop,pop rap,rap,southern hip hop,10092501,91,0.0706,0.676,237735,0.609,0,0.152,-5.831,0,0.481,142.037,4,0.508
7,1,Drake,3TVXtAsR1Inumwj472S9r4,5yY9lUy8nbvjM1Uyo1Uqoc,Life Is Good (feat. Drake),85,Life Is Good (feat. Drake),1/10/2020,canadian hip hop,canadian pop,hip hop,pop rap,54381251,98,0.0706,0.676,237735,0.609,0,0.152,-5.831,0,0.481,142.037,4,0.508
8,1,Lil Uzi Vert,4O15NlyKLIASxsJ0PrXPfz,5raTDhlbxFDnpn89bxArdH,That Way,71,That Way,3/1/2020,melodic rap,philly rap,rap,trap,11197133,91,0.0582,0.719,212354,0.611,0,0.155,-5.01,0,0.0403,129.962,4,0.489
9,1,Lady Gaga,1HY2Jd0NmPuamShAr6KMms,2kJu14V7hbZw3I4K8L8SXb,Stupid Love,39,Stupid Love,2/28/2020,dance pop,pop,post-teen pop,N/A,17022597,89,0.00146,0.676,193531,0.815,0.00041,0.275,-4.294,1,0.0625,117.973,4,0.796
10,1,Arizona Zervas,0vRvGUQVUjytro0xpb26bs,696DnlkuDOXcMAnKlTgXXK,ROXANNE,85,ROXANNE,10/10/2019,pop rap,rhode island rap,N/A,N/A,596955,76,0.0522,0.621,163636,0.601,0,0.46,-5.616,0,0.148,116.735,5,0.457
11,1,Roddy Ricch,757aE44tKEUQEqRuT6GnEB,07KXEDMj78x68D884wgVEm,High Fashion (feat. Mustard),80,Please Excuse Me For Being Antisocial,12/6/2019,melodic rap,rap,trap,N/A,5975338,88,0.269,0.831,220487,0.499,0,0.3,-8.442,0,0.114,97.956,4,0.511
12,1,Mustard,0YinUQ50QDB7ZxSCLyQ40k,07KXEDMj78x68D884wgVEm,High Fashion (feat. Mustard),80,Please Excuse Me For Being Antisocial,12/6/2019,cali rap,hip hop,pop rap,rap,845813,80,0.269,0.831,220487,0.499,0,0.3,-8.442,0,0.114,97.956,4,0.511
13,1,Lil Baby,5f7VJjfbwm532GiveGC0ZK,7KSSdFCBHCfq4KPzz78ghk,Heatin Up (feat. Gunna),70,My Turn,2/28/2020,atl hip hop,atl trap,rap,trap,6771753,93,0.0611,0.788,177314,0.436,0,0.0979,-9.435,1,0.364,129.847,4,0.341
14,1,Gunna,2hlmm7s2ICUX0LVIhVFlZQ,7KSSdFCBHCfq4KPzz78ghk,Heatin Up (feat. Gunna),70,My Turn,2/28/2020,atl hip hop,melodic rap,rap,trap,3059806,89,0.0611,0.788,177314,0.436,0,0.0979,-9.435,1,0.364,129.847,4,0.341
15,1,Dua Lipa,6M2wZ9GZgrQXHCFfjv46we,6WrI0LAC5M1Rw2MnX2ZvEg,Don't Start Now,85,Don't Start Now,10/31/2019,dance pop,pop,uk pop,N/A,24075299,95,0.0125,0.794,183290,0.793,0,0.0952,-4.521,0,0.0842,123.941,4,0.677
16,1,Bad Bunny,4q3ewBCX7sLwd24euuV69X,6NfrH0ANGmgBXyxgV2PeXt,La Difícil,81,YHLQMDLG,2/28/2020,latin,reggaeton,trap latino,N/A,32169246,98,0.0861,0.685,163084,0.848,7.14E-06,0.0783,-4.561,0,0.0858,179.87,4,0.761
17,1,Jack Harlow,2LIk90788K0zvyj2JJVwkJ,3Q6F8RByyhRTJpRtZLY3cg,WHATS POPPIN,25,WHATS POPPIN,1/21/2020,deep underground hip hop,kentucky hip hop,pop rap,rap,829144,84,0.017,0.923,139741,0.604,0,0.272,-6.671,0,0.245,145.062,4,0.826
18,1,Bad Bunny,4q3ewBCX7sLwd24euuV69X,38RIEav39FGi86jppxO0du,Ignorantes,75,YHLQMDLG,2/28/2020,latin,reggaeton,trap latino,N/A,32169246,98,0.267,0.85,210607,0.536,3.89E-05,0.0996,-5.161,1,0.0599,96.029,4,0.505
19,1,Sech,77ziqFxp5gaInVrF2lj4ht,38RIEav39FGi86jppxO0du,Ignorantes,75,YHLQMDLG,2/28/2020,latin,panamanian pop,reggaeton,trap latino,7850078,89,0.267,0.85,210607,0.536,3.89E-05,0.0996,-5.161,1,0.0599,96.029,4,0.505
20,1,Bad Bunny,4q3ewBCX7sLwd24euuV69X,41wtwzCZkXwpnakmwJ239F,Si Veo a Tu Mamá,82,YHLQMDLG,2/28/2020,latin,reggaeton,trap latino,N/A,32169246,98,0.402,0.9,170972,0.603,4.81E-06,0.134,-5.313,1,0.0646,129.928,4,0.824
21,1,Post Malone,246dkjvS1zLTtiykXe5h60,21jGcNKet2qwijlDFuPiPb,Circles,89,Hollywood's Bleeding,9/6/2019,dfw rap,melodic rap,rap,N/A,32142428,93,0.192,0.695,215280,0.762,0.00244,0.0863,-3.497,1,0.0395,120.042,4,0.553
22,1,Trevor Daniel,7uaIm6Pw7xplS8Dy06V6pT,4TnjEaWOeW0eKTKIEvJyCa,Falling,84,Falling,10/5/2018,alternative r&b,melodic rap,pop rap,N/A,599194,77,0.123,0.785,159382,0.431,0,0.0887,-8.756,0,0.0364,127.085,4,0.236
23,1,The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,4ejyZ4uJEXUURcgKp1kP8v,After Hours,4,After Hours,2/19/2020,canadian contemporary r&b,canadian pop,pop,N/A,31241181,96,0.0938,0.663,361947,0.567,0.00978,0.124,-5.941,0,0.0309,108.959,4,0.139
24,1,Lil Baby,5f7VJjfbwm532GiveGC0ZK,02RCbjb9czvQKNGBmEmWob,Woah,69,My Turn,2/28/2020,atl hip hop,atl trap,rap,trap,6771753,93,0.0177,0.883,183011,0.599,0,0.179,-5.551,1,0.248,142.976,4,0.413
25,1,Tones And I,2NjfBq1NflQcKSeiDooVjY,1rgnBhdG2JDFTbYkYRZAku,Dance Monkey,68,Dance Monkey,5/10/2019,australian pop,pop,N/A,N/A,2706697,81,0.688,0.825,209755,0.593,0.000161,0.17,-6.401,0,0.0988,98.078,4,0.54
26,1,Eminem,7dGJo4pcD2V6oG8kP0tJRR,7FIWs0pqAYbP91WWM0vlTQ,Godzilla (feat. Juice WRLD),86,Music To Be Murdered By,1/17/2020,detroit hip hop,hip hop,rap,N/A,43689108,94,0.145,0.808,210800,0.745,0,0.292,-5.26,0,0.342,165.995,4,0.829
