,Month,Artist,Artist ID,Song ID,Song Name,Song Popularity,Album Name,Album Release Date,Genre 1,Genre 2,Genre 3,Genre 4,Followers,Artist Popularity,Acousticness,Danceability,Duration Ms,Energy,Instrumentalness,Liveness,Loudness,Mode,Speechiness,Tempo,Time Signature,Valence
1951,7,Daddy Yankee,4VMYDCV2IEDYJArk749S6m,1c0hsvHLELX6y8qymnpLKL,Soltera - Remix,77,Soltera (Remix),2019-05-10,latin,latin hip hop,reggaeton,trap latino,22809902,91,0.361,0.795,266087,0.783,0.0,0.437,-4.271,1,0.0432,92.01,4,0.799
1952,7,Bad Bunny,4q3ewBCX7sLwd24euuV69X,1c0hsvHLELX6y8qymnpLKL,Soltera - Remix,77,Soltera (Remix),2019-05-10,latin,reggaeton,trap latino,N/A,32169246,98,0.361,0.795,266087,0.783,0.0,0.437,-4.271,1,0.0432,92.01,4,0.799
1953,7,Post Malone,246dkjvS1zLTtiykXe5h60,0e7ipj03S05BNilyu5bRzt,rockstar (feat. 21 Savage),85,beerbongs & bentleys,2018-04-27,dfw rap,melodic rap,rap,N/A,32142428,93,0.124,0.585,218147,0.52,7.01e-05,0.131,-6.136,0,0.0712,159.801,4,0.129
1954,7,21 Savage,1URnnhqYAYcrqrcwql10ft,0e7ipj03S05BNilyu5bRzt,rockstar (feat. 21 Savage),85,beerbongs & bentleys,2018-04-27,atl hip hop,rap,trap,N/A,9469803,87,0.124,0.585,218147,0.52,7.01e-05,0.131,-6.136,0,0.0712,159.801,4,0.129
1955,7,YK Osiris,7meyrw7Or5DwteYxDJrkCM,4XiGKQqbmnMVxDzUj6j3f2,Worth It,64,Worth It,2019-02-08,melodic rap,pop r&b,trap,N/A,1096735,65,0.468,0.764,189253,0.528,0.0,0.0811,-4.082,0,0.0588,123.936,5,0.422
1956,7,Ski Mask The Slump God,2rhFzFmezpnW82MNqEKVry,1ThmUihH9dF8EV08ku5AXN,Faucet Failure,78,STOKELEY,2018-11-30,miami hip hop,rap,underground hip hop,N/A,4081397,81,0.111,0.935,145627,0.552,0.0,0.0952,-9.373,0,0.335,99.993,4,0.615
1957,7,Miley Cyrus,5YGY8feqx7naU7z4HrwZM6,2WyRfGeHo97VC5mP1BBSzr,Mother's Daughter,72,SHE IS COMING,2019-05-31,dance pop,pop,post-teen pop,N/A,14761876,88,0.00464,0.681,219080,0.865,0.00169,0.149,-4.132,0,0.0594,91.017,4,0.528
1958,7,Morgan Wallen,4oUHIQIBe0LHzYfvXNW4QM,6foY66mWZN0pSRjZ408c00,Whiskey Glasses,80,If I Know Me,2018-04-27,contemporary country,deep talent show,N/A,N/A,1671242,88,0.369,0.614,234347,0.68,1.84e-06,0.115,-4.58,1,0.0289,149.959,4,0.707
1959,7,City Girls,37hAfseJWi0G3Scife12Il,3A2yGHWIzmGEIolwonU69h,Act Up,73,Girl Code,2018-11-16,dance pop,pop,pop rap,r&b,1420644,77,0.0167,0.938,158332,0.638,0.0,0.111,-4.713,1,0.189,97.075,4,0.313
1960,7,DaBaby,4r63FhuTkUYltbVAg5TQnk,3WyRgi8CzQnhzO0xw79tTS,Goin Baby,71,Baby On Baby,2019-03-01,north carolina hip hop,rap,N/A,N/A,6474943,93,0.128,0.755,141827,0.772,0.0,0.157,-5.585,1,0.4,132.906,4,0.678
1961,7,Luke Combs,718COspgdWOnwOFpJHRZHS,5eDvChP4WAPPrtaQeI9MhT,Beer Never Broke My Heart,0,Beer Never Broke My Heart,2019-05-08,contemporary country,N/A,N/A,N/A,4745839,85,0.0138,0.54,186800,0.863,0.0,0.0871,-4.483,1,0.0481,77.0,4,0.64
1962,7,Sech,77ziqFxp5gaInVrF2lj4ht,1Ej96GIBCTvgH7tNX1r3qr,Otro Trago,76,Sueños,2019-04-19,latin,panamanian pop,reggaeton,trap latino,7850078,89,0.136,0.746,225933,0.7,0.000159,0.11,-4.669,1,0.341,176.044,4,0.619
1963,7,Darell,1TtXnWcUs0FCkaZDPGYHdf,1Ej96GIBCTvgH7tNX1r3qr,Otro Trago,76,Sueños,2019-04-19,latin,latin hip hop,reggaeton,reggaeton flow,1931833,84,0.136,0.746,225933,0.7,0.000159,0.11,-4.669,1,0.341,176.044,4,0.619
1964,7,5 Seconds of Summer,5Rl15oVamLq7FbSb0NNBNy,4tNXntkAzQ5A2dfYRYGIIQ,Easier,9,Easier,2019-05-23,boy band,dance pop,electropop,pop,7366868,84,0.489,0.505,157493,0.428,0.0,0.0977,-5.604,1,0.221,175.813,4,0.618
1965,7,Mabel,1MIVXf74SZHmTIp4V4paH4,79JBjIq90BrQ8Ws0pUhlzD,Mad Love,5,Mad Love,2019-06-07,dance pop,edm,pop,pop dance,1261517,78,0.667,0.622,169813,0.796,0.0,0.106,-2.999,0,0.172,197.705,4,0.62
1966,7,Lizzo,56oDRnqbIiwx4mymNEv7dS,6uAm7pG66O1XesXS9bpHSF,Good As Hell,1,Good As Hell,2016-03-11,dance pop,escape room,minnesota hip hop,pop,3759748,78,0.285,0.684,159011,0.905,0.0,0.525,-3.187,0,0.0765,95.985,4,0.492
1967,7,Luke Combs,718COspgdWOnwOFpJHRZHS,2rxQMGVafnNaRaXlRMWPde,Beautiful Crazy,80,This One's for You Too (Deluxe Edition),2018-06-01,contemporary country,N/A,N/A,N/A,4745839,85,0.676,0.551,193200,0.402,0.0,0.0928,-7.431,1,0.0262,103.313,4,0.382
1968,7,Panic! At The Disco,20JZFwl6HVl6yg8a4H3ZqK,1rqqCSm0Qe4I9rUvWncaom,High Hopes,83,Pray for the Wicked,2018-06-22,baroque pop,emo,modern rock,N/A,10626824,83,0.193,0.579,190947,0.904,0.0,0.064,-2.729,1,0.0618,82.014,4,0.681
1969,7,Daniel Caesar,20wkVLutqVOYrc0kxFs7rA,2fhePAlCSsJplwkjqMYpVm,LOVE AGAIN,65,CASE STUDY 01,2019-06-28,canadian contemporary r&b,pop,r&b,N/A,2584167,89,0.41,0.553,214278,0.441,2.57e-06,0.107,-6.411,1,0.0918,76.988,4,0.525
1970,7,Brandy,05oH07COxkXKIMt6mIPRee,2fhePAlCSsJplwkjqMYpVm,LOVE AGAIN,65,CASE STUDY 01,2019-06-28,dance pop,hip hop,hip pop,neo soul,2105465,70,0.41,0.553,214278,0.441,2.57e-06,0.107,-6.411,1,0.0918,76.988,4,0.525
1971,7,Bryce Vine,1ShZZUjkbXCjhwrb18BA8I,3TpBefRZ1vFcOH6z57PQRI,La La Land (feat. YG),53,La La Land (feat. YG),2019-03-01,electropop,pop,pop rap,N/A,393917,74,0.223,0.781,177118,0.469,0.0,0.19,-5.107,0,0.0569,98.013,4,0.412
1972,7,YG,0A0FS04o6zMoto8OKPsDwY,3TpBefRZ1vFcOH6z57PQRI,La La Land (feat. YG),53,La La Land (feat. YG),2019-03-01,cali rap,gangster rap,hip hop,pop rap,2564363,81,0.223,0.781,177118,0.469,0.0,0.19,-5.107,0,0.0569,98.013,4,0.412
1973,7,Joyner Lucas,6C1ohJrd5VydigQtaGy5Wa,36TO60sxDduIsO3xH8IcUh,Isis,70,Isis,2019-05-23,boston hip hop,hip hop,pop rap,rap,1635577,77,0.234,0.918,236000,0.837,0.0,0.227,-6.792,1,0.255,120.017,4,0.855
1974,7,Logic,4xRYI6VqpkE3UwrDrAZL8L,36TO60sxDduIsO3xH8IcUh,Isis,70,Isis,2019-05-23,conscious hip hop,dmv rap,hip hop,pop rap,5299210,83,0.234,0.918,236000,0.837,0.0,0.227,-6.792,1,0.255,120.017,4,0.855
1975,7,J Balvin,1vyhD5VmyZ7KMfW5gqLgo5,71pEiUWwfDFiRO6RmFpnBf,MOJAITA,69,OASIS,2019-06-28,latin,reggaeton,reggaeton colombiano,trap latino,27254048,95,0.0171,0.45,187333,0.842,0.0,0.377,-3.602,1,0.102,172.069,4,0.885
1976,7,Bad Bunny,4q3ewBCX7sLwd24euuV69X,71pEiUWwfDFiRO6RmFpnBf,MOJAITA,69,OASIS,2019-06-28,latin,reggaeton,trap latino,N/A,32169246,98,0.0171,0.45,187333,0.842,0.0,0.377,-3.602,1,0.102,172.069,4,0.885
1977,7,XXXTENTACION,15UsOTVnJzReFVN1VCnxy4,0JP9xo3adEtGSdUEISiszL,Moonlight,85,?,2018-03-16,emo rap,miami hip hop,N/A,N/A,26702083,92,0.556,0.921,135090,0.537,0.00404,0.102,-5.723,0,0.0804,128.009,4,0.711
1978,7,Kodak Black,46SHBwWsqBkxI7EeeBEQG7,0FZ4Dmg8jJJAPJnvBIzD9z,ZEZE (feat. Travis Scott & Offset),80,Dying to Live,2018-12-14,florida rap,hip hop,melodic rap,miami hip hop,6912157,83,0.0521,0.861,228760,0.603,0.0,0.0924,-5.788,0,0.176,98.043,4,0.504
1979,7,Offset,4DdkRBBYG6Yk9Ka8tdJ9BW,0FZ4Dmg8jJJAPJnvBIzD9z,ZEZE (feat. Travis Scott & Offset),80,Dying to Live,2018-12-14,atl hip hop,hip hop,pop rap,rap,2005891,83,0.0521,0.861,228760,0.603,0.0,0.0924,-5.788,0,0.176,98.043,4,0.504
1980,7,Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY,0FZ4Dmg8jJJAPJnvBIzD9z,ZEZE (feat. Travis Scott & Offset),80,Dying to Live,2018-12-14,rap,slap house,N/A,N/A,16091497,94,0.0521,0.861,228760,0.603,0.0,0.0924,-5.788,0,0.176,98.043,4,0.504
1981,7,Avicii,1vCWHaC5f2uS3yhpwWbIA6,0vrmHPfoBadXVr2n0m1aqZ,Heaven,72,TIM,2019-06-06,dance pop,edm,pop,pop dance,19520401,85,0.0715,0.592,277262,0.873,0.00982,0.142,-5.65,1,0.0275,122.011,4,0.516
1982,7,Nicki Minaj,0hCNtLu0JehylgoiP8L4Gh,1ZDmxwg7Lywlx68b7SsJjj,MEGATRON,70,MEGATRON,2019-06-21,dance pop,hip pop,pop,pop rap,20958576,90,0.128,0.893,190747,0.641,8.06e-05,0.086,-3.051,1,0.272,94.017,4,0.771
1983,7,Lady Gaga,1HY2Jd0NmPuamShAr6KMms,2VxeLyX666F8uXCJ0dZF8B,Shallow,85,A Star Is Born Soundtrack,2018-10-05,dance pop,pop,post-teen pop,N/A,17022597,89,0.371,0.572,215733,0.385,0.0,0.231,-6.362,1,0.0308,95.799,4,0.323
1984,7,Bradley Cooper,4VIvfOurcf0vuLRxLkGnIG,2VxeLyX666F8uXCJ0dZF8B,Shallow,85,A Star Is Born Soundtrack,2018-10-05,hollywood,N/A,N/A,N/A,178366,76,0.371,0.572,215733,0.385,0.0,0.231,-6.362,1,0.0308,95.799,4,0.323
1985,7,Bazzi,4GvEc3ANtPPjt1ZJllr5Zl,12iDo4Kdw9vA2X1lN3UTVu,Focus (feat. 21 Savage),0,Focus (feat. 21 Savage),2019-06-13,dance pop,electropop,pop,post-teen pop,4181773,80,0.00694,0.752,155134,0.703,0.0,0.143,-5.268,1,0.0969,77.021,4,0.538
1986,7,21 Savage,1URnnhqYAYcrqrcwql10ft,12iDo4Kdw9vA2X1lN3UTVu,Focus (feat. 21 Savage),0,Focus (feat. 21 Savage),2019-06-13,atl hip hop,rap,trap,N/A,9469803,87,0.00694,0.752,155134,0.703,0.0,0.143,-5.268,1,0.0969,77.021,4,0.538
1987,7,Cardi B,4kYSro6naA4h99UJvo89HB,58q2HKrzhC3ozto2nDdN4z,I Like It,83,Invasion of Privacy,2018-04-06,pop,pop rap,post-teen pop,rap,15745947,90,0.099,0.816,253390,0.726,0.0,0.372,-3.998,0,0.129,136.048,4,0.65
1988,7,Bad Bunny,4q3ewBCX7sLwd24euuV69X,58q2HKrzhC3ozto2nDdN4z,I Like It,83,Invasion of Privacy,2018-04-06,latin,reggaeton,trap latino,N/A,32169246,98,0.099,0.816,253390,0.726,0.0,0.372,-3.998,0,0.129,136.048,4,0.65
1989,7,J Balvin,1vyhD5VmyZ7KMfW5gqLgo5,58q2HKrzhC3ozto2nDdN4z,I Like It,83,Invasion of Privacy,2018-04-06,latin,reggaeton,reggaeton colombiano,trap latino,27254048,95,0.099,0.816,253390,0.726,0.0,0.372,-3.998,0,0.129,136.048,4,0.65
1990,7,YNW Melly,1cNDP5yjU5vjeR8qMf4grg,6vWEAOUSxohKxhp0K1BsxL,Mixed Personalities (feat. Kanye West),74,We All Shine,2019-01-18,melodic rap,trap,N/A,N/A,5832728,82,0.457,0.661,230400,0.44,0.0,0.128,-9.104,1,0.0803,149.937,4,0.352
1991,7,Kanye West,5K4W6rqBFWDnAN6FQUkS6x,6vWEAOUSxohKxhp0K1BsxL,Mixed Personalities (feat. Kanye West),74,We All Shine,2019-01-18,chicago rap,rap,N/A,N/A,13702659,92,0.457,0.661,230400,0.44,0.0,0.128,-9.104,1,0.0803,149.937,4,0.352
1992,7,Cardi B,4kYSro6naA4h99UJvo89HB,6dPyzkyZwoj9LqjQXOFdVv,Press,68,Press,2019-05-31,pop,pop rap,post-teen pop,rap,15745947,90,0.029,0.888,143792,0.525,5.68e-06,0.137,-5.665,1,0.305,133.983,4,0.243
1993,7,Juice WRLD,4MCBfE4596Uoi2O4DtmEMz,2Jh3UqxnHJMyzMzku4uOtE,Feeling,75,Death Race For Love,2019-03-08,chicago rap,melodic rap,N/A,N/A,16961776,96,0.234,0.712,201920,0.515,0.0,0.205,-6.004,0,0.0857,160.0,4,0.563
1994,7,XXXTENTACION,15UsOTVnJzReFVN1VCnxy4,7m9OqQk4RVRkw9JJdeAw96,Jocelyn Flores,87,17,2017-08-25,emo rap,miami hip hop,N/A,N/A,26702083,92,0.469,0.872,119133,0.391,4.13e-06,0.297,-9.144,0,0.242,134.021,4,0.437
1995,7,Daddy Yankee,4VMYDCV2IEDYJArk749S6m,5w9c2J52mkdntKOmRLeM2m,Con Calma,80,Con Calma,2019-01-24,latin,latin hip hop,reggaeton,trap latino,22809902,91,0.11,0.737,193227,0.86,1.94e-06,0.0574,-2.652,0,0.0593,93.989,4,0.656
1996,7,Snow,3uZFBSsMiooimnprFL9jD1,5w9c2J52mkdntKOmRLeM2m,Con Calma,80,Con Calma,2019-01-24,canadian old school hip hop,reggae fusion,N/A,N/A,44008,69,0.11,0.737,193227,0.86,1.94e-06,0.0574,-2.652,0,0.0593,93.989,4,0.656
1997,7,Machine Gun Kelly,6TIYQ3jFPwQSRmorSezPxX,6bWBLZLBRQEJ5KsLicouNB,I Think I'm OKAY (with YUNGBLUD & Travis Barker),0,I Think I'm OKAY (with YUNGBLUD & Travis Barker),2019-06-06,ohio hip hop,pop rap,N/A,N/A,3363019,88,0.028,0.629,170440,0.729,0.0,0.288,-4.744,1,0.0325,119.996,4,0.304
1998,7,YUNGBLUD,6Ad91Jof8Niiw0lGLLi3NW,6bWBLZLBRQEJ5KsLicouNB,I Think I'm OKAY (with YUNGBLUD & Travis Barker),0,I Think I'm OKAY (with YUNGBLUD & Travis Barker),2019-06-06,british indie rock,modern rock,pop,rock,1680202,81,0.028,0.629,170440,0.729,0.0,0.288,-4.744,1,0.0325,119.996,4,0.304
1999,7,Travis Barker,4exLIFE8sISLr28sqG1qNX,6bWBLZLBRQEJ5KsLicouNB,I Think I'm OKAY (with YUNGBLUD & Travis Barker),0,I Think I'm OKAY (with YUNGBLUD & Travis Barker),2019-06-06,rap rock,N/A,N/A,N/A,293787,78,0.028,0.629,170440,0.729,0.0,0.288,-4.744,1,0.0325,119.996,4,0.304
2000,7,Chance the Rapper,1anyVhU62p31KFi8MEzkbf,0yFvWTLs3iIwDbc91noXGT,GRoCERIES,60,GRoCERIES,2019-05-17,chicago rap,conscious hip hop,hip hop,pop rap,5266069,85,0.0578,0.906,226846,0.596,0.0,0.109,-5.88,0,0.243,144.038,4,0.701
2001,7,TisaKorean,6lEhBhAv6HOopjXssi09cq,0yFvWTLs3iIwDbc91noXGT,GRoCERIES,60,GRoCERIES,2019-05-17,houston rap,viral rap,N/A,N/A,34784,54,0.0578,0.906,226846,0.596,0.0,0.109,-5.88,0,0.243,144.038,4,0.701
2002,7,Murda Beatz,3CbYyyd8wH3RT6t0jwpdzC,0yFvWTLs3iIwDbc91noXGT,GRoCERIES,60,GRoCERIES,2019-05-17,canadian hip hop,N/A,N/A,N/A,120303,68,0.0578,0.906,226846,0.596,0.0,0.109,-5.88,0,0.243,144.038,4,0.701
2003,7,Lauv,5JZ7CnR6gTvEMKX4g70Amv,7COXchtUOMd6uIT6HvmRaI,i'm so tired...,11,i'm so tired...,2019-01-24,electropop,pop,post-teen pop,N/A,4150207,84,0.176,0.599,162583,0.733,0.0,0.242,-7.058,1,0.203,102.211,4,0.534
2004,7,Troye Sivan,3WGpXCj9YhhfX11TToZcXP,7COXchtUOMd6uIT6HvmRaI,i'm so tired...,11,i'm so tired...,2019-01-24,australian pop,dance pop,electropop,pop,5552935,79,0.176,0.599,162583,0.733,0.0,0.242,-7.058,1,0.203,102.211,4,0.534
2005,7,Drake,3TVXtAsR1Inumwj472S9r4,0TlLq3lA83rQOYtrqBqSct,Nonstop,79,Scorpion,2018-06-29,canadian hip hop,canadian pop,hip hop,pop rap,54381251,98,0.0165,0.912,238614,0.412,0.0126,0.104,-8.074,1,0.123,154.983,4,0.423
2006,7,J Balvin,1vyhD5VmyZ7KMfW5gqLgo5,0uIfrUwwg0Z7KTitul7E3T,YO LE LLEGO,68,OASIS,2019-06-28,latin,reggaeton,reggaeton colombiano,trap latino,27254048,95,0.0104,0.785,249600,0.792,0.0,0.104,-4.695,0,0.0641,155.036,4,0.528
2007,7,Bad Bunny,4q3ewBCX7sLwd24euuV69X,0uIfrUwwg0Z7KTitul7E3T,YO LE LLEGO,68,OASIS,2019-06-28,latin,reggaeton,trap latino,N/A,32169246,98,0.0104,0.785,249600,0.792,0.0,0.104,-4.695,0,0.0641,155.036,4,0.528
2008,7,Panic! At The Disco,20JZFwl6HVl6yg8a4H3ZqK,22oEJW6r2rMb9z4IntfyEa,"Hey Look Ma, I Made It",73,Pray for the Wicked,2018-06-22,baroque pop,emo,modern rock,N/A,10626824,83,0.0137,0.577,169667,0.833,0.0,0.121,-3.337,1,0.0695,107.936,4,0.58
2009,7,DJ Snake,540vIaP2JwjQb9dm3aArA4,1f38Gx6xQz6r4H1jGVNBJo,Loco Contigo (with J. Balvin & Tyga),3,Loco Contigo (with J. Balvin & Tyga),2019-06-13,dance pop,edm,electronic trap,pop,7308286,83,0.285,0.822,185195,0.743,2.31e-06,0.102,-3.04,0,0.0567,96.025,4,0.355
2010,7,J Balvin,1vyhD5VmyZ7KMfW5gqLgo5,1f38Gx6xQz6r4H1jGVNBJo,Loco Contigo (with J. Balvin & Tyga),3,Loco Contigo (with J. Balvin & Tyga),2019-06-13,latin,reggaeton,reggaeton colombiano,trap latino,27254048,95,0.285,0.822,185195,0.743,2.31e-06,0.102,-3.04,0,0.0567,96.025,4,0.355
2011,7,Tyga,5LHRHt1k9lMyONurDHEdrp,1f38Gx6xQz6r4H1jGVNBJo,Loco Contigo (with J. Balvin & Tyga),3,Loco Contigo (with J. Balvin & Tyga),2019-06-13,dance pop,hip hop,pop rap,rap,6198201,86,0.285,0.822,185195,0.743,2.31e-06,0.102,-3.04,0,0.0567,96.025,4,0.355
2012,7,Khalid,6LuN9FCkKOj5PcnpouEgny,5kfNriitmkNE8mUbZ7gbq8,Saturday Nights,74,Suncity,2018-10-18,alternative r&b,pop,N/A,N/A,13719482,92,0.606,0.551,210667,0.44,3.02e-05,0.11,-8.559,1,0.0985,167.923,4,0.341
2013,7,Dan + Shay,7z5WFjZAIYejWy0NI5lv4T,3GJ4hzg4lrGwU51Y3VARbF,Speechless,75,Dan + Shay,2018-06-22,contemporary country,country,pop,N/A,2186460,80,0.356,0.616,213387,0.438,0.0,0.24,-5.968,1,0.0298,135.929,4,0.386
2014,7,Joji,3MZsBdqDrRTJihTHQrO6Dq,0rKtyWc8bvkriBthvHKY8d,SLOW DANCING IN THE DARK,84,BALLADS 1,2018-10-26,alternative r&b,viral pop,N/A,N/A,4367272,85,0.544,0.515,209274,0.479,0.00598,0.191,-7.458,1,0.0261,88.964,4,0.284
2015,7,Tyga,5LHRHt1k9lMyONurDHEdrp,2toVe5hfuIi97ytDPDbQFt,Taste (feat. Offset),73,Legendary,2019-06-07,dance pop,hip hop,pop rap,rap,6198201,86,0.0293,0.866,229210,0.613,0.0,0.104,-6.385,1,0.151,98.001,4,0.359
2016,7,Offset,4DdkRBBYG6Yk9Ka8tdJ9BW,2toVe5hfuIi97ytDPDbQFt,Taste (feat. Offset),73,Legendary,2019-06-07,atl hip hop,hip hop,pop rap,rap,2005891,83,0.0293,0.866,229210,0.613,0.0,0.104,-6.385,1,0.151,98.001,4,0.359
2017,7,Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,3XF5xLJHOQQRbWya6hBp7d,you should see me in a crown,80,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",2019-03-29,electropop,pop,N/A,N/A,41726788,92,0.462,0.678,180953,0.533,0.219,0.139,-10.485,1,0.186,150.455,4,0.323
2018,7,Bebe Rexha,64M6ah0SkkRsnPGtGiRAbb,4e4fqjx0Izh4svvTef1z7e,Meant to Be (feat. Florida Georgia Line),71,Expectations,2018-06-22,alt z,dance pop,electropop,pop,6291704,84,0.0476,0.642,164205,0.772,0.0,0.0646,-6.61,1,0.0848,153.995,4,0.589
